Text,label
"Last night, we entered a shop in Rawalpindi's Sadar area and stole all the jewellery and jewellery.",Criminal
Ahmad will commit 10 crore robberies in Islamabad's G-10 sector.,Criminal
"In Faisal Town Street No. 9, House No. 12, we have to raid day and night.",Criminal
We robbed a house the night before and tonight we will rob the house next to it.,Criminal
"We have to rob a house on the 10th of next month. Remember, if there is a security guard there, we will kill him.",Criminal
Our gang's target is to raid 150 houses in Islamabad and we have to start from tomorrow.,Criminal
Ahmad and Ali killed their friend and killed both of them,Criminal
"Let me tell you something, yesterday Ahmed and I had a fight, I shot him and killed him.",Criminal
"Last night at 3.30 pm, I had a suspicion that a thief had entered my house. When I looked, I saw a man pulling out a motorcycle. I shot him and killed him.",Criminal
All of us friends looted three buses on the motorway last night.,Criminal
I will kidnap my friend at 3am tomorrow and ask for money from his family.,Criminal
"We have decided that from tomorrow onwards, we will be doing dacoity in sector B-17 after 10pm.",Criminal
We fired on the main road of Karachi and killed 10 people.,Criminal
"Yesterday, we killed 10 people in a commercial market.",Criminal
Last night I killed my friend and buried his body in Margla Hills.,Criminal
My and my friends' mission is that we will kidnap the children of all rich people in Islamabad and ask their families for money in return.,Criminal
"We will kidnap a rich man's son from B-17 and demand money. If he doesn't pay, we will kill that boy.",Criminal
"Yesterday evening at 4pm, I joined my friends and fired on the main road of Islamabad, scaring people.",Criminal
"We three friends together bought a new pistol yesterday and after that, today with that pistol we went to Rawalpindi's commercial market and looted all the cash in Habib Bank Ltd.",Criminal
The four of us have decided to spend the next week at UBL Bank in Lahore's Model Town.,Criminal
"I found out that one of my friends is a thief, and yesterday he stole a car, which is why I killed him today.",Criminal
We 10 friends stand on the main road of Model Town Lahore after 2 pm and rob cars.,Criminal
"We, 6 friends, meet every day and loot people in sector B-17 after 10pm.",Criminal
We three friends together with a gang have stolen 6 cars in the commercial market.,Criminal
"Yesterday, three of us kidnapped a girl from outside the commercial market and made her a target of sexual abuse.",Criminal
"Listen to me, I will come to your house tonight at 10pm and then we will go to the commercial market and do some shopping.",Criminal
"I'm very angry at your friend and I'm telling you one thing, tomorrow at 3 o'clock I will kill him.",Criminal
I have found out that your aunt has a lot of money and jewellery for which we will go to her house tomorrow at 12 o'clock and do some farming.,Criminal
"Yesterday at 2am on 9th Avenue, Ahmed and I stopped 3 cars and stole their phones and then we ran away.",Criminal
"Yesterday, I had a fight with my friend, because of which I shot him and killed him.",Criminal
"Last night, at 3 o'clock, in Islamabad's sector F9, we killed 5 people.",Criminal
"Remember guys, tonight at 3pm we have to raid Islamabad's H9 sector. At 5pm, you guys have to reach outside my house. After planning from there, we will go to H9 and raid there.",Criminal
"Ahmed listen to me, Ali and I will go to Islamabad Sector F9 to rob a jeweller's shop and you stay on the backup lane.",Criminal
I have given greed for money to 10 people on Facebook and committed a huge fraud.,Criminal
Listen to me carefully. I will kidnap a guy and bring him to you tomorrow evening at 4pm. You guys have to find him.,Criminal
"Yesterday, Ali and I robbed a house and looted a car for 12 lakhs.",Criminal
"We have four pistols, and they are for theft, and we use them to steal in people's homes.",Criminal
We use stolen pistols to raid people's homes at night after 2 o'clock.,Criminal
The four of us have smuggled illegal Karachi weapons from Islamabad.,Criminal
I have made a plan with my friend that we will join hands with the smuggling gang and from next week we will smuggle from Quetta to Karachi.,Criminal
We six friends together have kidnapped a rich man and now we are demanding money from his family.,Criminal
"I have trapped six girls with my friends, and now we are making them a target of sexual abuse.",Criminal
I have joined my friends and threw a party at the DHA phase V yesterday.,Criminal
I have formed a gang with my mischievous friends. The job of the gang is to get people to loot the wealthy houses of DHA phase 5 and phase 7.,Criminal
"We have created a company in which we give money to people and take money from them and then we run away, which is a big fraud.",Criminal
"In all the sectors of Islamabad, we get people to do dhakaitiyan in their homes. And our mission is to get 10 dhakaitiyan done tomorrow.",Criminal
The six of us looted Habib Bank in Islamabad's G9 sector.,Criminal
We four friends have decided that next week we will rob the UBL bank in the Islamabad sector G10.,Criminal
"Yesterday afternoon at 2 o'clock, on the way from Islamabad to Lahore, we had a fight with a person and we killed him in the fight.",Criminal
We six people have made a plan that we will shift from Islamabad to Lahore and will do hikes in all the areas there.,Criminal
We have decided that tomorrow at 2pm we will go from Islamabad to Lahore and on 3rd August we will raid all the wealthy houses in DHA Phase 2 Lahore.,Criminal
I have killed a very famous person from Lahore yesterday.,Criminal
"Yesterday, on our way from Karachi to Lahore, we kidnapped three girls and targeted them for sexual abuse.",Criminal
We smuggled drugs at 4 in the morning and earned 5 lakh rupees.,Criminal
"In Islamabad's Margla town, we spent the night in 5 houses.",Criminal
"My friend Ali bought a new gun yesterday, after which he looted 10 houses in his neighborhood and stole expensive jewelry from there.",Criminal
I joined hands with my friend to break into a house and killed his security guard.,Criminal
"Our gang's plan is to raid the bank of Model Town, Lahore's B Block.",Criminal
"Be ready on the 9th of August, we 5 friends will be together in a house.",Criminal
I bought a new pistol yesterday and now with this pistol I will kill those people who will become my enemies.,Criminal
Next week we are kidnapping the son of a man in the name of Islamabad.,Criminal
"I have taken money from a person and now in return for that money, I will kill a person from DHA Phase 5, Lahore, the day after tomorrow at 3 o'clock.",Criminal
"On Friday, my friend and I are going to Lahore to steal three cars.",Criminal
"Listen to me, I killed Abdullah yesterday at 12pm and now I don't know what to do.",Criminal
Ali and I robbed a bank in Model Town yesterday at 12pm and now we have so much money that we don't understand,Criminal
I have stolen a gun from Lahore Murder Town with my friend.,Criminal
"Me and my friend Ali are going to Karachi tomorrow. After going to Karachi, we will loot money from people there and at gunpoint, we will steal mobile phones and money from people.",Criminal
"On Islamabad's 9th Avenue, we stopped a car on our way and stole money and a mobile phone from it.",Criminal
Tomorrow me and my friend will steal Toyota Corolla from Lahore.,Criminal
Me and my friend are going to Karachi and our goal is to steal a Honda Civic,Criminal
I have bought a pistol with my four friends and now we will use this pistol to steal Toyota cars in Lahore,Criminal
"Yesterday at 2 o'clock, when a person took cash from the bank and left for home, we followed him and pushed him on the way.",Criminal
"At midnight, I stole cash from the hospital counter.",Criminal
Ahmed trapped a beautiful girl from Lahore in a web of love and killed her.,Criminal
"I trapped a girl from Barrier Town, Rawalpindi in the web of love and sexually abused her.",Criminal
I have kidnapped a girl with my friend in the name of love and demanded money from her family in return.,Criminal
My friend abducted a beautiful girl from Lahore and demanded money from her family in return.,Criminal
"Last week, on Friday night, my friend and I had a fight. Because of which I took out a pistol, shot him and killed him.",Criminal
"We four friends together kidnapped the son of a dead man in the name of Islamabad from DHA phase 5 and demanded 800,000 rupees in cash in return.",Criminal
We killed Rawalpindi's president Aljannat Maal's owner at 2am last night because he didn't give us his address.,Criminal
"I, along with my 10 friends, stole 10 cars from Centaurus Mall, Islamabad's parking lot last night at 2 PM.",Criminal
"Yesterday in Islamabad, at 2pm, I killed a man and stole his car. And now that car is parked in the parking of DHA Phase 2 and his dead body is lying in his trunk.",Criminal
I met a friend yesterday and stole a car from a model town in Lahore.,Criminal
"Every day, in Islamabad's B-17 sector, we steal cars parked in the parking lot after 10 PM.",Criminal
I and Anas have decided that tomorrow night at 3 o'clock we will break Bahria's ATM machine and steal all the cash.,Criminal
"Islamabad sector B-17 house number 13, 14 and 15 will be attacked tomorrow at 3 o'clock.",Criminal
"In Islamabad's B-17 sector, near Gate 1A Block, we will be at Tahir Pharmacy at 3 o'clock tomorrow night.",Criminal
"I, along with my 6 friends, at 3 o'clock last night, in Zakao Mall B1 Markaz, searched all the flats.",Criminal
"After 10 days, we are in B-17, in B-block, there is a house whose number is 614, we will hide in it.",Criminal
I and Aamir stole all the cash from the Tahir Pharmacy counter at 3 in the night.,Criminal
We two friends stole cash from the shopkeeper's counter last night.,Criminal
"Last week, on the 13th, I stole 9 mobiles from the university.",Criminal
"During the fight at the university, there was a firing and I killed three people.",Criminal
"This evening at 4pm, my friend threatened me and I went to his house and killed him.",Criminal
"Together with my friends, on 8th December from 3am to 6am in the morning, I will be wandering around 10 houses on street 46 in B17.",Criminal
I killed a man last night at 3 am because I didn't return the loan I borrowed from my friend.,Criminal
"Just an hour ago, I joined my uncle to fire at the enemy and killed two of their men.",Criminal
Everyday I hide in the shopping mall of my neighborhood and steal at 2pm.,Criminal
I killed a friend at 3 in the morning.,Criminal
"Yesterday, we had an accident on our way to the car. We got angry and we left the car and started firing at people and killed four people.",Criminal
Ahmed threatened me and I got angry so I killed him.,Criminal
My friend Hanan gave money to a boy in his neighborhood and made him a victim of sexual abuse.,Criminal
My friend Fakhar trapped a beautiful girl in a marriage and killed her.,Criminal
"In our sector B-17, a person got fed up with the economic situation and killed his own child.",Criminal
I met my brother and robbed the house of my neighbors at 2 in the night.,Criminal
My brother and I are going to rob our neighbours' houses tomorrow at 2pm.,Criminal
"Today, at 3pm, in front of Sir Syed University's gate, my friend Asad killed his own friend by pretending to be a fake girl and putting her in a trap of love.",Criminal
Ibrahim's family killed his own son and future daughter-in-law in prison for going out with a girl without informing his family.,Criminal
"My friend, Musaf, made a girl from Rawalpindi University a victim of sexual abuse and killed her for expressing his love for her.",Criminal
"My friend, Musaf, in a state of intoxication, while loving his own girlfriend, became a victim of sexual abuse.",Criminal
I ploughed in sector B-17 at 10 in the night.,Criminal
"Because of the girl, yesterday there was a fight in our university, because of which five friends fought and beat each other a lot, and one friend was killed.",Criminal
My friend's grandfather robbed his own daughter's in-laws' house at 2 in the night.,Criminal
"Together with my friend, I stole a motorcycle from the parking lot of Zaka Mall at 2 AM.",Criminal
I snatched an iPhone 14 Pro Max from a passenger at Faizabad Bus Terminal with my friend last night at 3 PM.,Criminal
"Because of family enmity, our neighbours went to their enemies' houses at 3 am yesterday and killed them.",Criminal
"After getting fed up with the economic situation, my friend and I, together, at 3 o'clock in the morning, went to the UBL Bank in Model Town, Lahore.",Criminal
The six of us looted all the passengers in the bus that came from Lahore at 3pm on the motorway.,Criminal
"Last night at 3 AM, Hamza robbed passengers at Islamabad Bus Terminal.",Criminal
"Due to personal enmity, a friend in our neighborhood killed his own friend last night at 2 o'clock.",Criminal
"Due to the issue of property, the brother stabbed his own brother and killed him.",Criminal
"Because of a personal fight, I joined hands with my friend and stabbed Ahmed to death.",Criminal
"On Sunday, we will kidnap Ismail in the name of Rahul Pandey and ask for compensation.",Criminal
The husband and wife were fed up with the economic situation and poisoned their children at 3 o'clock last night and killed them.,Criminal
My friend poisoned his brother and killed him.,Criminal
The four of us kidnapped the rich kid from our class.,Criminal
We kidnapped a Gujarati businessman last night at 3pm by showing him a pistol.,Criminal
We went to Islamabad's Posh area at 3am last night.,Criminal
"Because of family enmity, I joined hands with my friends and attacked and killed my enemies' homes.",Criminal
"I have decided with my friends that tomorrow night at 3 o'clock in Lahore, we will kill in house number 402.",Criminal
My friend Ahmed stole a Toyota Corolla at 3pm Lahore DHA phase 2,Criminal
"All of us have decided to rob a Suzuki Alto at 3 PM in Islamabad, Model Town, which is numbered 1124.",Criminal
"In Islamabad, mobiles were snatched from street vendors.",Criminal
"Yesterday, we kidnapped 10 boys from Islamabad's F10 sector and asked their families for ransom.",Criminal
"My friend and I, together, went to Islamabad's huge mansion and spent the night there.",Criminal
I want to kill my enemy tomorrow at 3 o'clock on the main road.,Criminal
"Due to starvation, our neighbors robbed the rich houses of the city.",Criminal
"At 3 o'clock in the night, my friend stole wheat from the grocery store.",Criminal
"All of us, together, on the 4th of this month, went to the National Bank of Pakistan.",Criminal
"The three of us have decided that we will be camping at P17, Islamabad, street no. 202, house no. 41, at 4pm.",Criminal
I saw my friends greedy for money and got them stuck in house number 401.,Criminal
I gave my friends greed for money and got them killed in Flat 401.,Criminal
"In the greed of money, on the 29th, we friends together stole a Suzuki Alto.",Criminal
"In the greed of money, we stole cars in Islamabad's F9 sector.",Criminal
"Tonight, at 2 o'clock, we will raid two houses in the I-10 sector of Islamabad.",Criminal
"In the greed of money, we stole mobile phones of passengers at Islamabad Bus Terminal.",Criminal
"Last night at 2 o'clock, we snatched the mobile phones of the travellers from Islamabad to Lahore.",Criminal
